Username,Teks,Retweets,Likes,Views,URL Tweet
kerissakti,"Sayangnya itu cuma April mop... Tapi kalau 1 hari aja dana MBG dijadikan investasi industri kreatif khususnya video game, kira-kira begini... https://t.co/7TkrKAFnTp",167,691,0,https://x.com/kerissakti/status/2039199214203478249
onlizaaa,no sensor dan versi vidio nya ada di ch tele☝🏼😋,0,4,0,https://x.com/onlizaaa/status/2038319614543925281
rizky_syahreza,@Aerio_Id emg estetik sih.....  jatuhnya,0,1,0,https://x.com/rizky_syahreza/status/2041544288631476714
rizky_syahreza,@Rahasiaremajaaa Ngeri bgt,0,0,0,https://x.com/rizky_syahreza/status/2036278845192675556
rizky_syahreza,@v4nc1_b0zz @LTerbang1979 ayokk mutualan gass,0,0,0,https://x.com/rizky_syahreza/status/2041068711633920430
rizky_syahreza,@fryuputrii yokk sini mutualan yg belomm gass,0,1,0,https://x.com/rizky_syahreza/status/2041868831992508475
rizky_syahreza,@MaiSanPosts Alya!!,0,3,0,https://x.com/rizky_syahreza/status/2033743163140280585
rizky_syahreza,@admirjae @MantaNetwork_ID @zeandrn @tomi_r25 @Luthfihrs @MantaNetwork Selamat lebaran guyss 🙏🤩,0,1,0,https://x.com/rizky_syahreza/status/2035129425013207477
rizky_syahreza,@Zeefire02 oalah wkwkw,0,0,0,https://x.com/rizky_syahreza/status/2041068174666539316
rizky_syahreza,@Manga__vibe Nya nya nyaaa,0,0,0,https://x.com/rizky_syahreza/status/2035196243404890570
rizky_syahreza,@0xEfand @batvax @zeandrn @tomi_r25 apa niiiiih,0,0,0,https://x.com/rizky_syahreza/status/2041167109888319810
rizky_syahreza,@s_y_d ayok mutualan gasskan,0,0,0,https://x.com/rizky_syahreza/status/2036378705908597026
rizky_syahreza,@tmszhjh88 haha YinYang,0,1,0,https://x.com/rizky_syahreza/status/2037719195660784022
rizky_syahreza,@angga_fzn ayokk gass mutualan yg belom yokk,0,0,0,https://x.com/rizky_syahreza/status/2041868771728749047
rizky_syahreza,@ustadzchanyeol ayok mutualan yang belom,0,0,0,https://x.com/rizky_syahreza/status/2035742020669727198
rizky_syahreza,@kimayasachi Ayok mutualan yg belom guys,0,0,0,https://x.com/rizky_syahreza/status/2032584464535269792
rizky_syahreza,@aprry130699 ayok mutual,0,0,0,https://x.com/rizky_syahreza/status/2034690942083768709
rizky_syahreza,"@gnocchiq2 bngst,,,, itu lintah segede itu?",0,1,0,https://x.com/rizky_syahreza/status/2041543997123182648
rizky_syahreza,@gataupusiing ayokk mutualan yg belom,0,0,0,https://x.com/rizky_syahreza/status/2037033600722534781
rizky_syahreza,@angga_fzn ayokk mutualan gaskan,0,0,0,https://x.com/rizky_syahreza/status/2041521171049710071
rizky_syahreza,@tanyarlfes ayokk mutual,0,48,0,https://x.com/rizky_syahreza/status/2041868729496330712
rizky_syahreza,@0takusociety Hhaha,0,0,0,https://x.com/rizky_syahreza/status/2031176437940805820
rizky_syahreza,@zofthevalley Yokk mutualan guyss yg belom,0,0,0,https://x.com/rizky_syahreza/status/2040769811307954513
kerissakti,@nellz_ntnt Slide presentasi saya waktu jadi narsum KemenkoPM dan Kemenekraf beberapa hari lalu,0,2,0,https://x.com/kerissakti/status/2039695712695541839
rizky_syahreza,@trunkszoldyck wkwkw surviver,0,0,0,https://x.com/rizky_syahreza/status/2032298010890162199
rizky_syahreza,@happygirl24_ yok mutualn gass... yg belom juga gasss,0,0,0,https://x.com/rizky_syahreza/status/2032299008241136028
rizky_syahreza,@IRTMillenial ayokk mutualan gass,0,2,0,https://x.com/rizky_syahreza/status/2039227601852793291
rizky_syahreza,@onepiecedaiIys wow Namii,0,2,0,https://x.com/rizky_syahreza/status/2031595757372059698
rizky_syahreza,@animeshitpost49 Japan!!,0,0,0,https://x.com/rizky_syahreza/status/2031234587691471286
rizky_syahreza,@GyaruGlow Mahiru team!!,0,0,0,https://x.com/rizky_syahreza/status/2032287594407461274
rizky_syahreza,@tanyarlfes ayokk mutualan,0,0,0,https://x.com/rizky_syahreza/status/2041188708196757665
rizky_syahreza,@AnimexTwts PEAK haha,0,0,0,https://x.com/rizky_syahreza/status/2033745925030744192
rizky_syahreza,@Animex_wrld Shota haha,0,0,0,https://x.com/rizky_syahreza/status/2032582616621396243
rizky_syahreza,@qualifiekd ayok mutualan guyss,0,0,0,https://x.com/rizky_syahreza/status/2032697830788513972
rizky_syahreza,@tanyarlfes ayok mutualan yokk guyss,0,12,0,https://x.com/rizky_syahreza/status/2041543559296520429
rizky_syahreza,@iPoopBased bngsat wkwkw,0,0,0,https://x.com/rizky_syahreza/status/2041376760265375839
rizky_syahreza,@AnimexTwts Jakarta lol,0,0,0,https://x.com/rizky_syahreza/status/2033741442594836706
rizky_syahreza,@ShillaAU yokk sini mutualan yg belomm gass,0,0,0,https://x.com/rizky_syahreza/status/2041868868831113234
rizky_syahreza,@palwette yokk sini mutualan yg belomm gass,0,1,0,https://x.com/rizky_syahreza/status/2041868817245335846
rizky_syahreza,@animeposts Gojo!!!,0,0,0,https://x.com/rizky_syahreza/status/2033383570039878132
